직종코드,직종명,대분류코드,대분류명,부산공고수
029205,고객 상담원(스포츠·예식·항공·여행·숙박·오락),0,경영·사무·금융·보험,3
029207,고객 상담원(백화점·마트),0,경영·사무·금융·보험,3
029500,전산 자료 입력원,0,경영·사무·금융·보험,3
029903,사무 보조원(공공기관),0,경영·사무·금융·보험,3
031200,자산 운용가(펀드매니저),0,경영·사무·금융·보험,3
140305,토목안전·환경·품질 기술자,1,연구·공학기술,3
140501,도시 계획·설계가,1,연구·공학기술,3
155501,대기 환경 기술자 및 연구원,1,연구·공학기술,3
158400,산업안전 및 산업위험 관리 기술자,1,연구·공학기술,3
212102,수학 교사,2,교육·법률·사회복지·경찰·소방·군인,3
212104,과학 교사,2,교육·법률·사회복지·경찰·소방·군인,3
231201,심리상담 전문가,2,교육·법률·사회복지·경찰·소방·군인,3
306500,물리 및 작업치료사,3,보건·의료,3
414200,사진기자 및 사진사,4,예술·디자인·방송·스포츠,3
416100,감독 및 기술 감독,4,예술·디자인·방송·스포츠,3
420400,스포츠 강사 및 트레이너,4,예술·디자인·방송·스포츠,3
513200,반려동물 관리 종사원,5,미용·여행·숙박·음식·경비·돌봄·청소,3
532200,식음료 서비스 종사원,5,미용·여행·숙박·음식·경비·돌봄·청소,3
532900,기타 식음료 서비스 종사원(병원 배식원),5,미용·여행·숙박·음식·경비·돌봄·청소,3
541900,기타 경호 및 보안 관련 종사원,5,미용·여행·숙박·음식·경비·돌봄·청소,3
550400,장애인 돌봄 종사원,5,미용·여행·숙박·음식·경비·돌봄·청소,3
563200,세탁원 및 다림질원,5,미용·여행·숙박·음식·경비·돌봄·청소,3
564900,기타 서비스 관련 단순 종사원,5,미용·여행·숙박·음식·경비·돌봄·청소,3
612104,전기·전자장비 기술영업원,6,영업·판매·운전·운송,3
613100,자동차 영업원,6,영업·판매·운전·운송,3
613200,제품 영업원,6,영업·판매·운전·운송,3
613900,기타 영업원,6,영업·판매·운전·운송,3
615201,백화점 판매원,6,영업·판매·운전·운송,3
621200,선장 및 항해사·도선사,6,영업·판매·운전·운송,3
702200,방수공,7,건설·채굴,3
811300,승강기 설치 및 정비원,8,설치·정비·생산,3
813205,드릴링기 및 보링기 조작원,8,설치·정비·생산,3
813206,연삭기 및 연마(광택)기 조작원,8,설치·정비·생산,3
814002,건물용 냉난방 설비 조작원,8,설치·정비·생산,3
821202,금속 열처리로 조작원,8,설치·정비·생산,3
821203,인발·신선·연선·압출기 조작원,8,설치·정비·생산,3
822302,제관 보조원(견습공),8,설치·정비·생산,3
824104,조선용접원(조선취부사 포함),8,설치·정비·생산,3
824200,용접기 조작원,8,설치·정비·생산,3
852101,고무 사출성형기 조작원,8,설치·정비·생산,3
852200,플라스틱제품 생산기 조작원,8,설치·정비·생산,3
852401,고무제품 조립원 및 검사원,8,설치·정비·생산,3
873101,육류 가공기계 조작원,8,설치·정비·생산,3
873900,기타 식품가공 관련 기계 조작원,8,설치·정비·생산,3
883101,가구 제조원,8,설치·정비·생산,3
885900,기타 기계 조작원,8,설치·정비·생산,3
901502,식물 관리원,9,농림어업,3
905200,"임업 관련 단순 종사원(산림보호감시, 산불감시원 등)",9,농림어업,3
014100,숙박·여행·오락 및 스포츠 관련 관리자,0,경영·사무·금융·보험,2
014302,환경·청소 관리자,0,경영·사무·금융·보험,2
024301,상품 기획자,0,경영·사무·금융·보험,2
026400,교육 및 훈련 사무원,0,경영·사무·금융·보험,2
026504,대학 행정조교,0,경영·사무·금융·보험,2
026506,기숙사사감 및 독서실·고시원 총무,0,경영·사무·금융·보험,2
027201,경리 사무원(무역),0,경영·사무·금융·보험,2
028300,수상 및 항공운송 사무원,0,경영·사무·금융·보험,2
028509,품질관리 사무원(화학·섬유·의료),0,경영·사무·금융·보험,2
028511,품질관리 사무원(음식료품),0,경영·사무·금융·보험,2
029900,기타 사무 지원 종사원,0,경영·사무·금융·보험,2
032100,은행 사무원(출납창구 제외),0,경영·사무·금융·보험,2
121200,자연과학 시험원,1,연구·공학기술,2
133301,웹 개발자(웹 엔지니어·웹 프로그래머),1,연구·공학기술,2
134100,네트워크 시스템 개발자,1,연구·공학기술,2
135102,데이터베이스 운영·관리자,1,연구·공학기술,2
136101,정보시스템 운영자,1,연구·공학기술,2
140202,건축구조 기술자,1,연구·공학기술,2
140204,건축설비 기술자,1,연구·공학기술,2
